[['z' 'DC_LCDM' 'DC_wCDM']
 ['1.1500000000000001' '3771.0201626546914' '3839.8391135812512']
 ['1.16' '3793.7550925927662' '3862.996707409062']
 ['1.17' '3816.360112016811' '3886.019341298133']
 ['1.18' '3838.836247644645' '3908.9080931816247']
 ['1.19' '3861.1845186435135' '3931.664033614202']
 ['1.2' '3883.405936605709' '3954.288225704663']
 ['1.21' '3905.5015055282834' '3976.7817250549506']
 ['1.22' '3927.4722217966532' '3999.1455797052713']
 ['1.23' '3949.319074171959' '4021.380830085081']
 ['1.24' '3971.043043781999' '4043.4885089696722']
 ['1.25' '3992.6451041156006' '4065.4696414421255']
 ['1.26' '4014.1262210202663' '4087.325244860403']
 ['1.27' '4035.4873527029613' '4109.056328829344']
 ['1.28' '4056.7294497338985' '4130.663895177354']
 ['1.29' '4077.85345505318' '4152.14893793758']
 ['1.3' '4098.860303980181' '4173.512443333359']
 ['1.31' '4119.750924225528' '4194.755389767759']
 ['1.32' '4140.5262359055705' '4215.878747817008']
 ['1.33' '4161.187151559216' '4236.8834802276415']
 ['1.34' '4181.7345761670185' '4257.770541917196']
 ['1.35' '4202.169407172414' '4278.540879978261']
 ['1.36' '4222.492534504983' '4299.195433685749']
 ['1.37' '4242.7048406056665' '4319.73513450722']
 ['1.3800000000000001' '4262.8072004538' '4340.160906116089']
 ['1.3900000000000001' '4282.800481595909' '4360.4736644076165']
 ['1.4000000000000001' '4302.685544176137' '4380.674317517492']
 ['1.41' '4322.463240968252' '4400.763765842916']
 ['1.42' '4342.13441740912' '4420.742902066024']
 ['1.43' '4361.699911633583' '4440.612611179543']
 ['1.44' '4381.160554510642' '4460.373770514557']
 ['1.45' '4400.517169680902' '4480.027249770271']
 ['1.46' '4419.770573595155' '4499.573911045644']
 ['1.47' '4438.921575554094' '4519.014608872824']
 ['1.48' '4457.9709777490325' '4538.350190252231']
 ['1.49' '4476.919575303603' '4557.581494689238']
 ['1.5' '4495.768156316353' '4576.709354232328']
 ['1.51' '4514.517501904182' '4595.734593512647']
 ['1.52' '4533.1683862465725' '4614.658029784859']
 ['1.53' '4551.721576630541' '4633.480472969234']
 ['1.54' '4570.177833496271' '4652.202725694881']
 ['1.55' '4588.53791048337' '4670.825583344028']
 ['1.56' '4606.802554477704' '4689.349834097338']
 ['1.57' '4624.972505658759' '4707.77625898011']
 ['1.58' '4643.048497547488' '4726.1056319093595']
 ['1.59' '4661.0312570546075' '4744.338719741694']
 ['1.6' '4678.9215045292685' '4762.476282321911']
 ['1.61' '4696.719953808128' '4780.519072532275']
 ['1.62' '4714.427312264696' '4798.467836342418']
 ['1.6300000000000001' '4732.04428085901' '4816.323312859791']
 ['1.6400000000000001' '4749.571554187524' '4834.086234380637']
 ['1.6500000000000001' '4767.009820533253' '4851.757326441421']
 ['1.6600000000000001' '4784.359761916059' '4869.337307870684']
 ['1.67' '4801.62205414313' '4886.826890841256']
 ['1.68' '4818.79736685957' '4904.226780922812']
 ['1.69' '4835.88636359907' '4921.5376771347']
 ['1.7' '4852.889701834688' '4938.76027199902']
 ['1.71' '4869.808033029641' '4955.895251593931']
 ['1.72' '4886.642002688132' '4972.943295607101']
 ['1.73' '4903.392250406181' '4989.905077389331']
 ['1.74' '4920.059409922422' '5006.7812640082675']
 ['1.75' '4936.644109168858' '5023.572516302195']
 ['1.76' '4953.146970321566' '5040.279488933891']
 ['1.77' '4969.5686098512915' '5056.9028304444855']
 ['1.78' '4985.90963857397' '5073.443183307326']
 ['1.79' '5002.170661701113' '5089.901183981806']
 ['1.8' '5018.352278890061' '5106.277462967145']
 ['1.81' '5034.455084294096' '5122.572644856086']
 ['1.82' '5050.479666612382' '5138.787348388502']
 ['1.83' '5066.426609139722' '5154.922186504875']
 ['1.84' '5082.296489816134' '5170.977766399643']
 ['1.85' '5098.089881276222' '5186.954689574389']
 ['1.86' '5113.807350898317' '5202.853551890858']
 ['1.87' '5129.4494608534105' '5218.674943623779']
 ['1.8800000000000001' '5145.016768153838' '5234.419449513494']
 ['1.8900000000000001' '5160.5098247017195' '5250.087648818354']
 ['1.9000000000000001' '5175.929177337143' '5265.680115366878']
 ['1.9100000000000001' '5191.275367886084' '5281.197417609699']
 ['1.92' '5206.548933208046' '5296.640118671199']
 ['1.93' '5221.750405243431' '5312.008776400921']
 ['1.94' '5236.880311060607' '5327.303943424678']
 ['1.95' '5251.939172902699' '5342.5261671953685']
 ['1.96' '5266.927508234063' '5357.675990043508']
 ['1.97' '5281.845829786457' '5372.753949227438']
 ['1.98' '5296.6946456049045' '5387.7605769832235']
 ['1.99' '5311.47445909324' '5402.696400574231']]
