#measurements of the pre-reconstruction configuration-space 3-wedges of the DR12 combined sample for 0.5 < z < 0.75 
#from Sanchez et al. (2016)
#   s/(Mpc/h)          xi_3w,1       sigma xi_3w,1   
 0.250000000E+01   0.483661650E+01   0.312807045E-01 
 0.750000000E+01   0.167575847E+01   0.119828169E-01 
 0.125000000E+02   0.771988373E+00   0.775892352E-02 
 0.175000000E+02   0.424065716E+00   0.563907313E-02 
 0.225000000E+02   0.259922552E+00   0.447027355E-02 
 0.275000000E+02   0.167703487E+00   0.376968026E-02 
 0.325000000E+02   0.116683612E+00   0.323207384E-02 
 0.375000000E+02   0.818163007E-01   0.292863159E-02 
 0.425000000E+02   0.598397228E-01   0.258684634E-02 
 0.475000000E+02   0.431098019E-01   0.237010322E-02 
 0.525000000E+02   0.318672798E-01   0.221825108E-02 
 0.575000000E+02   0.242060952E-01   0.206315210E-02 
 0.625000000E+02   0.211144928E-01   0.193099940E-02 
 0.675000000E+02   0.165717776E-01   0.183300631E-02 
 0.725000000E+02   0.123270088E-01   0.173219873E-02 
 0.775000000E+02   0.109340623E-01   0.164878498E-02 
 0.825000000E+02   0.801079860E-02   0.155046170E-02 
 0.875000000E+02   0.748811867E-02   0.147883544E-02 
 0.925000000E+02   0.685725855E-02   0.142063286E-02 
 0.975000000E+02   0.755994887E-02   0.135314349E-02 
 0.102500000E+03   0.656422874E-02   0.129503435E-02 
 0.107500000E+03   0.567267282E-02   0.123754071E-02 
 0.112500000E+03   0.433213711E-02   0.119486862E-02 
 0.117500000E+03   0.329493855E-02   0.116072918E-02 
 0.122500000E+03   0.233920745E-02   0.111690535E-02 
 0.127500000E+03   0.260862895E-02   0.108360964E-02 
 0.132500000E+03   0.259778089E-02   0.103810693E-02 
 0.137500000E+03   0.160282014E-02   0.999362463E-03 
 0.142500000E+03   0.166160576E-02   0.952578559E-03 
 0.147500000E+03   0.810101176E-03   0.946115030E-03 
 0.152500000E+03   0.385700868E-03   0.918383277E-03 
 0.157500000E+03   0.211585812E-03   0.889386771E-03 
