#measurements of the pre-reconstruction configuration-space 3-wedges of the DR12 combined sample for 0.2 < z < 0.5 
#from Sanchez et al. (2016)
#   s/(Mpc/h)          xi_3w,2        sigma xi_3w,2 
 0.250000000E+01   0.513697097E+01   0.345642802E-01
 0.750000000E+01   0.162923683E+01   0.118447206E-01
 0.125000000E+02   0.709821065E+00   0.710463629E-02
 0.175000000E+02   0.379534114E+00   0.521302146E-02
 0.225000000E+02   0.224891747E+00   0.412194557E-02
 0.275000000E+02   0.149209327E+00   0.360681912E-02
 0.325000000E+02   0.994566499E-01   0.315633313E-02
 0.375000000E+02   0.704736012E-01   0.276666955E-02
 0.425000000E+02   0.497962516E-01   0.251643157E-02
 0.475000000E+02   0.360644472E-01   0.233763639E-02
 0.525000000E+02   0.265274891E-01   0.215783672E-02
 0.575000000E+02   0.218543797E-01   0.201140054E-02
 0.625000000E+02   0.161795146E-01   0.189653870E-02
 0.675000000E+02   0.121982608E-01   0.178261971E-02
 0.725000000E+02   0.103524235E-01   0.167510421E-02
 0.775000000E+02   0.744542170E-02   0.158861312E-02
 0.825000000E+02   0.626032127E-02   0.150271889E-02
 0.875000000E+02   0.574401828E-02   0.143211464E-02
 0.925000000E+02   0.603323674E-02   0.138868882E-02
 0.975000000E+02   0.606566992E-02   0.135042350E-02
 0.102500000E+03   0.589366798E-02   0.131257369E-02
 0.107500000E+03   0.531523666E-02   0.126872057E-02
 0.112500000E+03   0.457351676E-02   0.122563079E-02
 0.117500000E+03   0.328129905E-02   0.117708961E-02
 0.122500000E+03   0.123884404E-02   0.113908364E-02
 0.127500000E+03   0.739562607E-03   0.112400083E-02
 0.132500000E+03   0.120403594E-02   0.110151802E-02
 0.137500000E+03   0.703971310E-03   0.107772483E-02
 0.142500000E+03   0.124158918E-02   0.104016022E-02
 0.147500000E+03   0.118085555E-02   0.101492585E-02
 0.152500000E+03   0.108788414E-02   0.985815227E-03
 0.157500000E+03   0.214796214E-02   0.965836240E-03
