#measurements of the pre-reconstruction configuration-space 3-wedges of the DR12 combined sample for 0.5 < z < 0.75 
#from Sanchez et al. (2016)
#   s/(Mpc/h)          xi_3w,2        sigma xi_3w,2 
 0.250000000E+01   0.486207809E+01   0.331979951E-01
 0.750000000E+01   0.154853101E+01   0.110201677E-01
 0.125000000E+02   0.674269801E+00   0.643639006E-02
 0.175000000E+02   0.358381901E+00   0.466648289E-02
 0.225000000E+02   0.215548140E+00   0.372760772E-02
 0.275000000E+02   0.139746075E+00   0.314253437E-02
 0.325000000E+02   0.917416046E-01   0.278063378E-02
 0.375000000E+02   0.628086254E-01   0.250653103E-02
 0.425000000E+02   0.445175066E-01   0.225543475E-02
 0.475000000E+02   0.326654549E-01   0.208649307E-02
 0.525000000E+02   0.237736287E-01   0.192243278E-02
 0.575000000E+02   0.182772679E-01   0.178527254E-02
 0.625000000E+02   0.133998123E-01   0.167326275E-02
 0.675000000E+02   0.900824199E-02   0.158544197E-02
 0.725000000E+02   0.640550911E-02   0.149271828E-02
 0.775000000E+02   0.427228086E-02   0.144299094E-02
 0.825000000E+02   0.468947770E-02   0.137083023E-02
 0.875000000E+02   0.430568596E-02   0.131562982E-02
 0.925000000E+02   0.492781255E-02   0.125673188E-02
 0.975000000E+02   0.469546342E-02   0.122384279E-02
 0.102500000E+03   0.516259323E-02   0.117147945E-02
 0.107500000E+03   0.390020945E-02   0.114503765E-02
 0.112500000E+03   0.328511878E-02   0.109972578E-02
 0.117500000E+03   0.168332736E-02   0.107486924E-02
 0.122500000E+03   0.115936351E-02   0.103663976E-02
 0.127500000E+03   0.455412207E-03   0.999768006E-03
 0.132500000E+03   0.416488741E-03   0.950381793E-03
 0.137500000E+03   0.217836210E-03   0.923458170E-03
 0.142500000E+03   0.361466352E-03   0.901373250E-03
 0.147500000E+03   0.397305566E-03   0.879852984E-03
 0.152500000E+03  -0.279438029E-03   0.866028104E-03
 0.157500000E+03   0.383903702E-03   0.853333799E-03
