#measurements of the pre-reconstruction configuration-space 3-wedges of the DR12 combined sample for 0.2 < z < 0.5 
#from Sanchez et al. (2016)
#   s/(Mpc/h)          xi_3w,3        sigma xi_3w,3 
 0.250000000E+01   0.758898887E+01   0.479903545E-01
 0.750000000E+01   0.175114545E+01   0.130309332E-01
 0.125000000E+02   0.595552059E+00   0.741415159E-02
 0.175000000E+02   0.279438780E+00   0.530877433E-02
 0.225000000E+02   0.154198320E+00   0.439511747E-02
 0.275000000E+02   0.887338451E-01   0.374982623E-02
 0.325000000E+02   0.536832087E-01   0.344939953E-02
 0.375000000E+02   0.312652340E-01   0.315567518E-02
 0.425000000E+02   0.204141437E-01   0.291007571E-02
 0.475000000E+02   0.122689356E-01   0.268034745E-02
 0.525000000E+02   0.736234490E-02   0.251550766E-02
 0.575000000E+02   0.336524534E-02   0.239033165E-02
 0.625000000E+02   0.287532713E-02   0.220208575E-02
 0.675000000E+02   0.452169506E-03   0.210508492E-02
 0.725000000E+02  -0.507845097E-03   0.198922910E-02
 0.775000000E+02  -0.127028972E-02   0.191046977E-02
 0.825000000E+02   0.639006483E-03   0.182979907E-02
 0.875000000E+02   0.186527724E-02   0.175307780E-02
 0.925000000E+02   0.303922708E-02   0.172394961E-02
 0.975000000E+02   0.224945080E-02   0.169867512E-02
 0.102500000E+03   0.320130852E-02   0.166713425E-02
 0.107500000E+03   0.275844513E-02   0.160943056E-02
 0.112500000E+03   0.612482497E-03   0.152841188E-02
 0.117500000E+03  -0.165711256E-02   0.147298121E-02
 0.122500000E+03  -0.217134252E-02   0.141756836E-02
 0.127500000E+03  -0.166879965E-02   0.137899113E-02
 0.132500000E+03  -0.166348766E-02   0.132624306E-02
 0.137500000E+03  -0.237133760E-02   0.130672332E-02
 0.142500000E+03  -0.248023685E-02   0.128875801E-02
 0.147500000E+03  -0.256397142E-02   0.125757737E-02
 0.152500000E+03  -0.196290093E-02   0.123714662E-02
 0.157500000E+03  -0.116096890E-02   0.120221631E-02
