#measurements of the pre-reconstruction configuration-space 3-wedges of the DR12 combined sample for 0.5 < z < 0.75 
#from Sanchez et al. (2016)
#   s/(Mpc/h)          xi_3w,3        sigma xi_3w,3 
 0.250000000E+01   0.665136941E+01   0.449983983E-01
 0.750000000E+01   0.160728156E+01   0.125103071E-01
 0.125000000E+02   0.549931937E+00   0.665758514E-02
 0.175000000E+02   0.259557573E+00   0.478975766E-02
 0.225000000E+02   0.140266281E+00   0.391309451E-02
 0.275000000E+02   0.808301172E-01   0.329109284E-02
 0.325000000E+02   0.479896648E-01   0.299912159E-02
 0.375000000E+02   0.283668412E-01   0.270588234E-02
 0.425000000E+02   0.164640124E-01   0.253916816E-02
 0.475000000E+02   0.853881719E-02   0.235504858E-02
 0.525000000E+02   0.259584103E-02   0.220129905E-02
 0.575000000E+02  -0.443264421E-03   0.203690027E-02
 0.625000000E+02  -0.144083445E-02   0.192920208E-02
 0.675000000E+02  -0.407851803E-02   0.185288283E-02
 0.725000000E+02  -0.453568986E-02   0.177166975E-02
 0.775000000E+02  -0.399745805E-02   0.170694853E-02
 0.825000000E+02  -0.142310403E-02   0.166060979E-02
 0.875000000E+02  -0.767170004E-03   0.161685214E-02
 0.925000000E+02  -0.396475370E-03   0.155663639E-02
 0.975000000E+02   0.932585145E-03   0.152281234E-02
 0.102500000E+03   0.278595918E-02   0.150092804E-02
 0.107500000E+03   0.187118096E-02   0.146732171E-02
 0.112500000E+03   0.297263623E-03   0.144245733E-02
 0.117500000E+03  -0.375075301E-03   0.137772453E-02
 0.122500000E+03  -0.350886696E-03   0.132579842E-02
 0.127500000E+03  -0.336575330E-03   0.128437765E-02
 0.132500000E+03  -0.988623382E-03   0.124598252E-02
 0.137500000E+03  -0.125891734E-02   0.120881934E-02
 0.142500000E+03  -0.128402537E-02   0.118312748E-02
 0.147500000E+03  -0.160595548E-02   0.114986546E-02
 0.152500000E+03  -0.222950031E-02   0.113276232E-02
 0.157500000E+03  -0.144722606E-02   0.112270837E-02
