0.005           	22.361252965234495            	22.366933575014663       
0.015           	66.92247768463338             	66.97294639612755        
0.025           	111.26771659793056            	111.40610011924683       
0.035           	155.39589586935756            	155.6636188840391        
0.045           	199.30600897856922            	199.74282764748176       
0.055           	242.99711628320455            	243.64115217563005       
0.065           	286.4683445126923             	287.35611891233174       
0.075           	329.7188861963507             	330.88535472790124       
0.085           	372.7479990288874             	374.22658655107824       
0.095           	415.5550051764425             	417.37764088787594       
0.105           	458.13929052634995            	460.3364432311746        
0.115           	500.5003038838041             	503.10101736514014       
0.125           	542.6375561186294             	545.6694845687442        
0.135           	584.5506192653385             	588.0400627228217        
0.145           	626.2391255796545             	630.2110653252481        
0.155           	667.7027665546432             	672.1809004189278        
0.165           	708.9412918995695             	713.9480694373717        
0.175           	749.9545084845464             	755.511165972704         
0.185           	790.7422792539971             	796.8688744709792        
0.195           	831.3045221118911             	838.0199688597057        
0.205           	871.6412087816534             	878.9633111124675        
0.215           	911.7523636435727             	919.6978497555135        
0.225           	951.6380625524589             	960.2226183211384        
0.235           	991.2984316382277             	1000.5367337526235       
0.245           	1030.7336460919964            	1040.6393947654321       
0.255           	1069.9439289401919            	1080.5298801692559       
0.265           	1108.9295498090826            	1120.2075471554208       
0.275           	1147.6908236820561            	1159.6718295540363       
0.285           	1186.2281096518584            	1198.9222360651527       
0.295           	1224.5418096699304            	1237.9583484680613       
0.305           	1262.6323672948674            	1276.779819812725        
0.315           	1300.5002664419362            	1315.3863725971883       
0.325           	1338.14603013549              	1353.7777969346569       
0.335           	1375.570219266013             	1391.9539487137852       
0.345           	1412.7734313534431            	1429.9147477555475       
0.355           	1449.756299318317             	1467.6601759699117       
0.365           	1486.5194902621865            	1505.1902755153587       
0.375           	1523.0637042586754            	1542.5051469641448       
0.385           	1559.38967315643              	1579.6049474760287       
0.395           	1595.498159395154             	1616.4898889830158       
0.405           	1631.3899548358136            	1653.160236387535        
0.415           	1667.0658796060193            	1689.6163057762747       
0.425           	1702.5267809615084            	1725.8584626517686       
0.435           	1737.7735321645716            	1761.887120183665        
0.445           	1772.807031380189             	1797.7027374814543       
0.455           	1807.6282005905673            	1833.305817890294        
0.465           	1842.2379845286991            	1868.6969073114267       
0.475           	1876.637349631491             	1903.8765925485422       
0.485           	1910.827283012946             	1938.8454996813145       
0.495           	1944.808791457825             	1973.604292467209        
0.505           	1978.5829004361365            	2008.1536707725288       
0.515           	2012.150653138774             	2042.4943690335647       
0.525           	2045.5131095345284            	2076.6271547485953       
0.535           	2078.6713454486903            	2110.5528270013656       
0.545           	2111.626451663374             	2144.272215016592        
0.555           	2144.379533039675             	2177.786176747927        
0.565           	2176.9317076617094            	2211.095597498742        
0.575           	2209.2841060025535            	2244.201388575977        
0.585           	2241.4378701120627            	2277.104485977258        
0.595           	2273.3941528265104            	2309.805849111371        
0.605           	2305.154116999945             	2342.3064595521473       
0.615           	2336.7189347571607            	2374.6073198257086       
0.625           	2368.089786768112             	2406.7094522309962       
0.635           	2399.267861543596             	2438.6138976934267       
0.645           	2430.254354752006             	2470.3217146514717       
0.655           	2461.050468556928             	2501.833977975913        
0.665           	2491.657410975319             	2533.1517779214664       
0.675           	2522.076395256025             	2564.276219110457        
0.685           	2552.3086392783325            	2595.208419548148        
0.695           	2582.3553649702735            	2625.949509669323        
0.705           	2612.21779774636              	2656.500631415688        
0.715           	2641.8971659644285            	2686.86293734362         
0.725           	2671.3947004012603            	2717.0375897617682       
0.735           	2700.711633746634             	2747.025759897994        
0.745           	2729.8492001154527            	2776.828627095131        
0.755           	2758.8086345775905            	2806.447378035003        
0.765           	2787.591172705103             	2835.8832059901315       
0.775           	2816.1980501364087            	2865.1373101025843       
0.785           	2844.6305021570956            	2894.2108946893577       
0.795           	2872.8897632969624            	2923.1051685737043       
0.805           	2900.9770669429126            	2951.821344441827        
0.815           	2928.8936449673442            	2980.360638224308        
0.825           	2956.6407273716304            	3008.724268501701        
0.835           	2984.2195419443387            	3036.9134559336585       
0.845           	3011.631313933791             	3064.9294227109967       
0.855           	3038.877265734608             	3092.7733920301025       
0.865           	3065.958616587852             	3120.446587589064        
0.875           	3092.876582294406             	3147.950233104953        
0.885           	3119.6323749412254            	3175.2855518516403       
0.895           	3146.2272026400933            	3202.4537662175826       
0.905           	3172.6622692785286            	3229.456097282976        
0.915           	3198.938774282486             	3256.293764415728        
0.925           	3225.0579123905127            	3282.9679848856636       
0.935           	3251.020873439002             	3309.4799734964145       
0.945           	3276.8288421582206            	3335.8309422344423       
0.955           	3302.482997978767             	3362.0220999346675       
0.965           	3327.984514848141             	3388.054651962148        
0.975           	3353.334561057106             	3413.9297999093137       
0.985           	3378.5342990755175            	3439.6487413082386       
0.995           	3403.5848853973207            	3465.2126693574396       
1.005           	3428.487470394424             	3490.622772662735        
1.015           	3453.2431981791206            	3515.8802349916627       
1.025           	3477.8532064748115            	3540.9862350410067       
1.035           	3502.3186264947126            	3565.9419462169685       
1.045           	3526.6405828282905            	3590.7485364275353       
1.055           	3550.8201933351493            	3615.4071678866235       
1.065           	3574.8585690461073            	3639.918996929556        
1.075           	3598.7568140712046            	3664.2851738394756       
1.085           	3622.516025514401             	3688.506842684285        
1.095           	3646.1372933947036            	3712.58514116373         
1.105           	3669.621700573508             	3736.521200466233        
1.115           	3692.9703226879               	3760.3161451351293       
1.125           	3716.184228089717             	3783.971092943917        
1.135           	3739.2644777901282            	3807.4871547802077       
1.145           	3762.212125409535             	3830.865434538006        
1.155           	3785.0282171325834            	3854.107029018019        
