 -->  wCDM with w=-1.1 ; Plots on notebook (es3.ipynb) 
       
   z:       CD_LCDM:   CD_wCDM: 
1.3000e+00 4.0989e+03 4.1735e+03
1.3100e+00 4.1198e+03 4.1948e+03
1.3200e+00 4.1405e+03 4.2159e+03
1.3300e+00 4.1612e+03 4.2369e+03
1.3400e+00 4.1817e+03 4.2578e+03
1.3500e+00 4.2022e+03 4.2785e+03
1.3600e+00 4.2225e+03 4.2992e+03
1.3700e+00 4.2427e+03 4.3197e+03
1.3800e+00 4.2628e+03 4.3402e+03
1.3900e+00 4.2828e+03 4.3605e+03
1.4000e+00 4.3027e+03 4.3807e+03
1.4100e+00 4.3225e+03 4.4008e+03
1.4200e+00 4.3421e+03 4.4207e+03
1.4300e+00 4.3617e+03 4.4406e+03
1.4400e+00 4.3812e+03 4.4604e+03
1.4500e+00 4.4005e+03 4.4800e+03
1.4600e+00 4.4198e+03 4.4996e+03
1.4700e+00 4.4389e+03 4.5190e+03
1.4800e+00 4.4580e+03 4.5384e+03
1.4900e+00 4.4769e+03 4.5576e+03
1.5000e+00 4.4958e+03 4.5767e+03
1.5100e+00 4.5145e+03 4.5957e+03
1.5200e+00 4.5332e+03 4.6147e+03
1.5300e+00 4.5517e+03 4.6335e+03
1.5400e+00 4.5702e+03 4.6522e+03
1.5500e+00 4.5885e+03 4.6708e+03
1.5600e+00 4.6068e+03 4.6893e+03
1.5700e+00 4.6250e+03 4.7078e+03
1.5800e+00 4.6430e+03 4.7261e+03
1.5900e+00 4.6610e+03 4.7443e+03
1.6000e+00 4.6789e+03 4.7625e+03
1.6100e+00 4.6967e+03 4.7805e+03
1.6200e+00 4.7144e+03 4.7985e+03
1.6300e+00 4.7320e+03 4.8163e+03
1.6400e+00 4.7496e+03 4.8341e+03
1.6500e+00 4.7670e+03 4.8518e+03
1.6600e+00 4.7844e+03 4.8693e+03
1.6700e+00 4.8016e+03 4.8868e+03
1.6800e+00 4.8188e+03 4.9042e+03
1.6900e+00 4.8359e+03 4.9215e+03
1.7000e+00 4.8529e+03 4.9388e+03
1.7100e+00 4.8698e+03 4.9559e+03
1.7200e+00 4.8866e+03 4.9729e+03
1.7300e+00 4.9034e+03 4.9899e+03
1.7400e+00 4.9201e+03 5.0068e+03
1.7500e+00 4.9366e+03 5.0236e+03
1.7600e+00 4.9531e+03 5.0403e+03
1.7700e+00 4.9696e+03 5.0569e+03
1.7800e+00 4.9859e+03 5.0734e+03
1.7900e+00 5.0022e+03 5.0899e+03
1.8000e+00 5.0184e+03 5.1063e+03
1.8100e+00 5.0345e+03 5.1226e+03
1.8200e+00 5.0505e+03 5.1388e+03
1.8300e+00 5.0664e+03 5.1549e+03
1.8400e+00 5.0823e+03 5.1710e+03
1.8500e+00 5.0981e+03 5.1870e+03
1.8600e+00 5.1138e+03 5.2029e+03
1.8700e+00 5.1294e+03 5.2187e+03
1.8800e+00 5.1450e+03 5.2344e+03
1.8900e+00 5.1605e+03 5.2501e+03
1.9000e+00 5.1759e+03 5.2657e+03
1.9100e+00 5.1913e+03 5.2812e+03
1.9200e+00 5.2065e+03 5.2966e+03
1.9300e+00 5.2218e+03 5.3120e+03
1.9400e+00 5.2369e+03 5.3273e+03
1.9500e+00 5.2519e+03 5.3425e+03
1.9600e+00 5.2669e+03 5.3577e+03
1.9700e+00 5.2818e+03 5.3728e+03
1.9800e+00 5.2967e+03 5.3878e+03
1.9900e+00 5.3115e+03 5.4027e+03
